filename,speech_name,noise_name,realization,SNR,technique,llr,snrg
F200502_WASHING1_10,F200502,WASHING,1,10.0,noisy,,0.0002837181091308594
F200502_WASHING1_20,F200502,WASHING,1,20.0,noisy,,-0.00034809112548828125
F200502_WASHING1_inf,F200502,WASHING,1,inf,noisy,,
F200502_WASHING2_-20,F200502,WASHING,2,-20.0,noisy,,1.0728836059570312e-05
F200502_WASHING2_-10,F200502,WASHING,2,-10.0,noisy,,4.172325134277344e-05
F200502_WASHING2_-5,F200502,WASHING,2,-5.0,noisy,,5.7220458984375e-05
F200502_WASHING2_0,F200502,WASHING,2,0.0,noisy,,5.746646820625756e-05
F200502_WASHING2_5,F200502,WASHING,2,5.0,noisy,,8.52346420288086e-05
F200502_WASHING2_10,F200502,WASHING,2,10.0,noisy,,1.6689300537109375e-05
F200502_WASHING2_20,F200502,WASHING,2,20.0,noisy,,-0.0012278556823730469
F200502_WASHING2_inf,F200502,WASHING,2,inf,noisy,,
F200502_WASHING3_-20,F200502,WASHING,3,-20.0,noisy,,0.0
F200502_WASHING3_-10,F200502,WASHING,3,-10.0,noisy,,3.993511199951172e-05
F200502_WASHING3_-5,F200502,WASHING,3,-5.0,noisy,,7.987022399902344e-05
F200502_WASHING3_0,F200502,WASHING,3,0.0,noisy,,1.7602422985874e-05
F200502_WASHING3_5,F200502,WASHING,3,5.0,noisy,,0.00010132789611816406
F200502_WASHING3_10,F200502,WASHING,3,10.0,noisy,,0.0001323223114013672
F200502_WASHING3_20,F200502,WASHING,3,20.0,noisy,,0.0001049041748046875
F200502_WASHING3_inf,F200502,WASHING,3,inf,noisy,,
F200502_WASHING4_-20,F200502,WASHING,4,-20.0,noisy,,4.76837158203125e-06
F200502_WASHING4_-10,F200502,WASHING,4,-10.0,noisy,,1.1920928955078125e-05
F200502_WASHING4_-5,F200502,WASHING,4,-5.0,noisy,,4.9173831939697266e-05
F200502_WASHING4_0,F200502,WASHING,4,0.0,noisy,,5.798417987534776e-05
F200502_WASHING4_5,F200502,WASHING,4,5.0,noisy,,0.00015914440155029297
F200502_WASHING4_10,F200502,WASHING,4,10.0,noisy,,0.00019073486328125
F200502_WASHING4_20,F200502,WASHING,4,20.0,noisy,,-0.00023245811462402344
F200502_WASHING4_inf,F200502,WASHING,4,inf,noisy,,
F200503_SNOW0_-20,F200503,SNOW,0,-20.0,noisy,,-7.867813110351562e-05
F200503_SNOW0_-10,F200503,SNOW,0,-10.0,noisy,,-0.0002276897430419922
F200503_SNOW0_-5,F200503,SNOW,0,-5.0,noisy,,-0.0004363059997558594
F200503_SNOW0_0,F200503,SNOW,0,0.0,noisy,,-0.0008033158519538119
F200503_SNOW0_5,F200503,SNOW,0,5.0,noisy,,-0.0013554096221923828
F200503_SNOW0_10,F200503,SNOW,0,10.0,noisy,,-0.0025254487991333008
F200503_SNOW0_20,F200503,SNOW,0,20.0,noisy,,-0.008873939514160156
F200503_SNOW0_inf,F200503,SNOW,0,inf,noisy,,
F200503_SNOW1_-20,F200503,SNOW,1,-20.0,noisy,,-9.298324584960938e-05
F200503_SNOW1_-10,F200503,SNOW,1,-10.0,noisy,,-0.0002872943878173828
F200503_SNOW1_-5,F200503,SNOW,1,-5.0,noisy,,-0.0004953145980834961
F200503_SNOW1_0,F200503,SNOW,1,0.0,noisy,,-0.0008382685336982831
F200503_SNOW1_5,F200503,SNOW,1,5.0,noisy,,-0.0015547871589660645
