filename,speech_name,noise_name,realization,SNR,technique,pesq,stoi,srmr
F200707_WASHING2_-10,F200707,WASHING,2,-10.0,noisy,1.0945322513580322,0.5333375997947556,0.6906584305683879
F200707_WASHING2_-5,F200707,WASHING,2,-5.0,noisy,1.4719924926757812,0.6468903125691324,1.3301180871280873
F200707_WASHING2_0,F200707,WASHING,2,0.0,noisy,1.8714141845703125,0.7556979230560577,3.242707223098824
F200707_WASHING2_5,F200707,WASHING,2,5.0,noisy,2.205925464630127,0.847550833200289,7.1347119294713695
F200707_WASHING2_10,F200707,WASHING,2,10.0,noisy,2.533730983734131,0.9150421725254733,11.764772473966337
F200707_WASHING2_20,F200707,WASHING,2,20.0,noisy,3.243684768676758,0.9804707352090101,16.375838012525033
F200707_WASHING2_inf,F200707,WASHING,2,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_WASHING3_-20,F200707,WASHING,3,-20.0,noisy,0.7433394193649292,0.36599516214422834,0.4317338109557464
F200707_WASHING3_-10,F200707,WASHING,3,-10.0,noisy,1.091444969177246,0.5451202004295229,0.6413080400954917
F200707_WASHING3_-5,F200707,WASHING,3,-5.0,noisy,1.471999168395996,0.6671644676083804,1.3471183055143885
F200707_WASHING3_0,F200707,WASHING,3,0.0,noisy,1.8728673458099365,0.7750499295727064,3.453465697525416
F200707_WASHING3_5,F200707,WASHING,3,5.0,noisy,2.1979410648345947,0.8569272666017576,7.580137507919827
F200707_WASHING3_10,F200707,WASHING,3,10.0,noisy,2.541452407836914,0.9160265438304744,12.180786018862328
F200707_WASHING3_20,F200707,WASHING,3,20.0,noisy,3.266083240509033,0.9786156166774872,16.443688084445988
F200707_WASHING3_inf,F200707,WASHING,3,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_WASHING4_-20,F200707,WASHING,4,-20.0,noisy,1.1270068883895874,0.4065874872823464,0.3769864351151741
F200707_WASHING4_-10,F200707,WASHING,4,-10.0,noisy,1.1998039484024048,0.5644755213904525,0.6408770962647329
F200707_WASHING4_-5,F200707,WASHING,4,-5.0,noisy,1.5468670129776,0.6747606573107027,1.4182177069851145
F200707_WASHING4_0,F200707,WASHING,4,0.0,noisy,1.9231188297271729,0.7759804556051435,3.5943372599271823
F200707_WASHING4_5,F200707,WASHING,4,5.0,noisy,2.253937244415283,0.8527506264051076,7.623736171613113
F200707_WASHING4_10,F200707,WASHING,4,10.0,noisy,2.598801851272583,0.9107324576835795,12.065359628660147
F200707_WASHING4_20,F200707,WASHING,4,20.0,noisy,3.3197340965270996,0.9773918544723057,16.353858004887986
F200707_WASHING4_inf,F200707,WASHING,4,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200708_SNOW0_-20,F200708,SNOW,0,-20.0,noisy,0.3071938455104828,0.3169616173562727,0.2542305308383358
F200708_SNOW0_-10,F200708,SNOW,0,-10.0,noisy,0.3324556350708008,0.3887292815303436,0.2834459373911725
F200708_SNOW0_-5,F200708,SNOW,0,-5.0,noisy,0.6731915473937988,0.47576341511651815,0.39189907434514826
F200708_SNOW0_0,F200708,SNOW,0,0.0,noisy,0.9822843074798584,0.5955723398753948,0.8414489509763213
F200708_SNOW0_5,F200708,SNOW,0,5.0,noisy,1.4074368476867676,0.7254908198580191,2.2057391527626105
F200708_SNOW0_10,F200708,SNOW,0,10.0,noisy,1.7783467769622803,0.8476399571395347,4.628366044290352
F200708_SNOW0_20,F200708,SNOW,0,20.0,noisy,2.544323205947876,0.976448725287743,7.894794478192268
F200708_SNOW0_inf,F200708,SNOW,0,inf,noisy,4.5,0.9999999999999991,8.533069272463527
F200708_SNOW1_-20,F200708,SNOW,1,-20.0,noisy,1.0156583786010742,0.3210998008857106,0.48801117194466914
F200708_SNOW1_-10,F200708,SNOW,1,-10.0,noisy,1.9300220012664795,0.3913261315052981,0.477524974739196
F200708_SNOW1_-5,F200708,SNOW,1,-5.0,noisy,0.7721913456916809,0.48372297860437297,0.559983813323094
F200708_SNOW1_0,F200708,SNOW,1,0.0,noisy,1.072935700416565,0.6053050015965574,1.041964850330381
F200708_SNOW1_5,F200708,SNOW,1,5.0,noisy,1.4046980142593384,0.729983318786233,2.4778199811550516
F200708_SNOW1_10,F200708,SNOW,1,10.0,noisy,1.7609730958938599,0.8438062694263022,4.838693601129565
F200708_SNOW1_20,F200708,SNOW,1,20.0,noisy,2.4843037128448486,0.9717941604946035,7.898082057031213
F200708_SNOW1_inf,F200708,SNOW,1,inf,noisy,4.5,0.9999999999999991,8.533069272463527
F200708_SNOW2_-20,F200708,SNOW,2,-20.0,noisy,1.9040030241012573,0.2749572919190097,0.32030275086610455
